LocationID,lat,lon
179,220388.743050,1004100.553269
180,185450.931302,1026677.579767
181,183512.266066,989405.746257
182,244523.604786,1023546.119588
183,248698.685105,1030844.605820
184,255671.999974,1037392.699344
185,250593.752991,1024530.253226
186,211974.446219,986345.398600
187,168165.569990,945169.957191
188,179279.219372,998832.380882
189,186158.903767,993240.614956
190,180324.550480,992874.569042
191,200041.333840,1055901.629082
192,210299.493289,1035449.727792
193,216284.733880,1000318.472670
194,227468.716265,1005129.342664
195,185397.130970,981704.064400
196,203864.036665,1022128.768996
197,192362.216989,1031135.253061
198,196698.544014,1011501.486842
199,227529.739801,1016742.200502
200,267014.190255,1009963.380627
201,149890.085161,1027736.521347
202,216861.162284,998114.265703
203,179057.247006,1056534.442659
204,136202.985651,926485.938978
205,191188.337270,1049933.636376
206,172088.092387,955854.205300
207,217633.299382,1012130.810578
208,239283.262415,1033088.737426
209,197610.823577,983234.045718
210,154972.187945,1000772.914156
211,203008.491333,983823.807119
212,240931.216212,1020315.903285
213,237276.931877,1023516.903780
214,153070.105539,960498.781315
215,192344.280830,1042216.245948
216,185669.032251,1034328.300065
217,195734.938140,995729.630294
218,184218.431192,1047209.161098
219,180616.254137,1049585.194577
220,260773.715089,1008953.129125
221,164718.910374,963788.572874
222,175209.803277,1016880.344555
223,222528.476020,1010448.249340
224,205899.417530,990735.940297
225,190001.966684,1003139.565788
226,208048.827128,1005124.982198
227,173132.833961,982958.798494
228,176946.791446,981122.004588
229,214975.366876,993906.172304
230,216099.139768,988628.060046
231,200780.540427,982065.701386
232,199673.277025,988955.887521
233,212491.935842,992439.560877
234,209001.626630,986894.236795
235,249885.021589,1007494.992006
236,223613.753576,996155.386766
237,219305.827826,993769.023714
238,227717.518059,991712.764443
239,224895.872165,990167.498292
240,265226.438637,1016879.869198
241,258631.992199,1013115.881750
242,247818.588169,1025564.827848
243,251552.228689,1002830.587986
244,245939.880658,1000464.311047
245,168837.058601,955698.915832
246,213727.400081,983137.466105
247,241308.757076,1005169.123029
248,243211.978776,1019590.376102
249,206902.407995,983453.224648
250,242470.435059,1026135.800631
251,164047.365150,949450.134478
252,226490.626840,1035297.158428
253,216434.846866,1028229.945252
254,260702.714185,1023253.960893
255,201159.033354,996053.803306
256,198271.799699,995365.878081
257,177405.496669,990359.381594
258,190229.069621,1024249.871623
259,266453.414552,1025106.230787
260,210434.891894,1010211.977343
261,197635.173703,980639.511771
262,221974.400788,999064.725083
263,223005.988409,997817.919659
